frame_path,action
data/frames\20260610_152652_000000.png,0
data/frames\20260610_152652_000001.png,0
data/frames\20260610_152652_000002.png,0
data/frames\20260610_152652_000003.png,0
data/frames\20260610_152652_000004.png,0
data/frames\20260610_152652_000005.png,0
data/frames\20260610_152652_000006.png,0
data/frames\20260610_152652_000007.png,0
data/frames\20260610_152652_000008.png,0
data/frames\20260610_152652_000009.png,0
data/frames\20260610_152652_000010.png,0
data/frames\20260610_152652_000011.png,0
data/frames\20260610_152652_000012.png,0
data/frames\20260610_152652_000013.png,0
data/frames\20260610_152652_000014.png,0
data/frames\20260610_152652_000015.png,0
data/frames\20260610_152652_000016.png,0
data/frames\20260610_152652_000017.png,0
data/frames\20260610_152652_000018.png,0
data/frames\20260610_152652_000019.png,0
data/frames\20260610_152652_000020.png,0
data/frames\20260610_152652_000021.png,0
data/frames\20260610_152652_000022.png,0
data/frames\20260610_152652_000023.png,0
data/frames\20260610_152652_000024.png,1
data/frames\20260610_152652_000025.png,1
data/frames\20260610_152652_000026.png,0
data/frames\20260610_152652_000027.png,0
data/frames\20260610_152652_000028.png,0
data/frames\20260610_152652_000029.png,0
data/frames\20260610_152652_000030.png,0
data/frames\20260610_152652_000031.png,0
data/frames\20260610_152652_000032.png,0
data/frames\20260610_152652_000033.png,0
data/frames\20260610_152652_000034.png,0
data/frames\20260610_152652_000035.png,0
data/frames\20260610_152652_000036.png,0
data/frames\20260610_152652_000037.png,0
data/frames\20260610_152652_000038.png,0
data/frames\20260610_152652_000039.png,0
data/frames\20260610_152652_000040.png,0
data/frames\20260610_152652_000041.png,0
data/frames\20260610_152652_000042.png,0
data/frames\20260610_152652_000043.png,0
data/frames\20260610_152652_000044.png,0
data/frames\20260610_152652_000045.png,0
data/frames\20260610_152652_000046.png,0
data/frames\20260610_152652_000047.png,0
data/frames\20260610_152652_000048.png,0
data/frames\20260610_152652_000049.png,0
data/frames\20260610_152652_000050.png,0
data/frames\20260610_152652_000051.png,0
data/frames\20260610_152652_000052.png,0
data/frames\20260610_152652_000053.png,0
data/frames\20260610_152652_000054.png,0
data/frames\20260610_152652_000055.png,0
data/frames\20260610_152652_000056.png,0
data/frames\20260610_152652_000057.png,0
data/frames\20260610_152652_000058.png,0
data/frames\20260610_152652_000059.png,0
data/frames\20260610_152652_000060.png,0
data/frames\20260610_152652_000061.png,0
data/frames\20260610_152652_000062.png,0
data/frames\20260610_152652_000063.png,0
data/frames\20260610_152652_000064.png,0
data/frames\20260610_152652_000065.png,0
data/frames\20260610_152652_000066.png,0
data/frames\20260610_152652_000067.png,0
data/frames\20260610_152652_000068.png,0
data/frames\20260610_152652_000069.png,0
data/frames\20260610_152652_000070.png,0
data/frames\20260610_152652_000071.png,0
data/frames\20260610_152652_000072.png,0
data/frames\20260610_152652_000073.png,0
data/frames\20260610_152652_000074.png,0
data/frames\20260610_152652_000075.png,0
data/frames\20260610_152652_000076.png,0
data/frames\20260610_152652_000077.png,0
data/frames\20260610_152652_000078.png,0
data/frames\20260610_152652_000079.png,0
data/frames\20260610_152652_000080.png,0
data/frames\20260610_152652_000081.png,0
data/frames\20260610_152652_000082.png,0
data/frames\20260610_152652_000083.png,0
data/frames\20260610_152652_000084.png,0
data/frames\20260610_152652_000085.png,0
data/frames\20260610_152652_000086.png,0
data/frames\20260610_152652_000087.png,0
data/frames\20260610_152652_000088.png,0
data/frames\20260610_152652_000089.png,0
data/frames\20260610_152652_000090.png,0
data/frames\20260610_152652_000091.png,0
data/frames\20260610_152652_000092.png,1
data/frames\20260610_152652_000093.png,1
data/frames\20260610_152652_000094.png,0
data/frames\20260610_152652_000095.png,0
data/frames\20260610_152652_000096.png,0
data/frames\20260610_152652_000097.png,0
data/frames\20260610_152652_000098.png,0
data/frames\20260610_152652_000099.png,0
data/frames\20260610_152652_000100.png,0
data/frames\20260610_152652_000101.png,0
data/frames\20260610_152652_000102.png,0
data/frames\20260610_152652_000103.png,0
data/frames\20260610_152652_000104.png,0
data/frames\20260610_152652_000105.png,0
data/frames\20260610_152652_000106.png,0
data/frames\20260610_152652_000107.png,0
data/frames\20260610_152652_000108.png,0
data/frames\20260610_152652_000109.png,0
data/frames\20260610_152652_000110.png,0
data/frames\20260610_152652_000111.png,0
data/frames\20260610_152652_000112.png,0
data/frames\20260610_152652_000113.png,0
data/frames\20260610_152652_000114.png,0
data/frames\20260610_152652_000115.png,1
data/frames\20260610_152652_000116.png,0
data/frames\20260610_152652_000117.png,0
data/frames\20260610_152652_000118.png,0
data/frames\20260610_152652_000119.png,0
data/frames\20260610_152652_000120.png,0
data/frames\20260610_152652_000121.png,0
data/frames\20260610_152652_000122.png,0
data/frames\20260610_152652_000123.png,0
data/frames\20260610_152652_000124.png,0
data/frames\20260610_152652_000125.png,0
data/frames\20260610_152652_000126.png,0
data/frames\20260610_152652_000127.png,0
data/frames\20260610_152652_000128.png,1
data/frames\20260610_152652_000129.png,1
data/frames\20260610_152652_000130.png,0
data/frames\20260610_152652_000131.png,0
data/frames\20260610_152652_000132.png,0
data/frames\20260610_152652_000133.png,0
data/frames\20260610_152652_000134.png,0
data/frames\20260610_152652_000135.png,0
data/frames\20260610_152652_000136.png,0
data/frames\20260610_152652_000137.png,0
data/frames\20260610_152652_000138.png,0
data/frames\20260610_152652_000139.png,0
data/frames\20260610_152652_000140.png,1
data/frames\20260610_152652_000141.png,1
data/frames\20260610_152652_000142.png,0
data/frames\20260610_152652_000143.png,0
data/frames\20260610_152652_000144.png,0
data/frames\20260610_152652_000145.png,0
data/frames\20260610_152652_000146.png,0
data/frames\20260610_152652_000147.png,0
data/frames\20260610_152652_000148.png,0
data/frames\20260610_152652_000149.png,0
data/frames\20260610_152652_000150.png,0
data/frames\20260610_152652_000151.png,0
data/frames\20260610_152652_000152.png,0
data/frames\20260610_152652_000153.png,0
data/frames\20260610_152652_000154.png,0
data/frames\20260610_152652_000155.png,0
data/frames\20260610_152652_000156.png,0
data/frames\20260610_152652_000157.png,0
data/frames\20260610_152652_000158.png,0
data/frames\20260610_152652_000159.png,0
data/frames\20260610_152652_000160.png,0
data/frames\20260610_152652_000161.png,0
data/frames\20260610_152652_000162.png,1
data/frames\20260610_152652_000163.png,1
data/frames\20260610_152652_000164.png,0
data/frames\20260610_152652_000165.png,0
data/frames\20260610_152652_000166.png,0
data/frames\20260610_152652_000167.png,0
data/frames\20260610_152652_000168.png,0
data/frames\20260610_152652_000169.png,0
data/frames\20260610_152652_000170.png,0
data/frames\20260610_152652_000171.png,0
data/frames\20260610_152652_000172.png,0
data/frames\20260610_152652_000173.png,0
data/frames\20260610_152652_000174.png,0
data/frames\20260610_152652_000175.png,0
data/frames\20260610_152652_000176.png,0
data/frames\20260610_152652_000177.png,0
data/frames\20260610_152652_000178.png,1
data/frames\20260610_152652_000179.png,1
data/frames\20260610_152652_000180.png,0
data/frames\20260610_152652_000181.png,0
data/frames\20260610_152652_000182.png,0
data/frames\20260610_152652_000183.png,0
data/frames\20260610_152652_000184.png,0
data/frames\20260610_152652_000185.png,0
data/frames\20260610_152652_000186.png,0
data/frames\20260610_152652_000187.png,0
data/frames\20260610_152652_000188.png,0
data/frames\20260610_152652_000189.png,1
data/frames\20260610_152652_000190.png,1
data/frames\20260610_152652_000191.png,0
data/frames\20260610_152652_000192.png,0
data/frames\20260610_152652_000193.png,0
data/frames\20260610_152652_000194.png,0
data/frames\20260610_152652_000195.png,0
data/frames\20260610_152652_000196.png,0
data/frames\20260610_152652_000197.png,0
data/frames\20260610_152652_000198.png,0
data/frames\20260610_152652_000199.png,0
data/frames\20260610_152652_000200.png,0
data/frames\20260610_152652_000201.png,1
data/frames\20260610_152652_000202.png,1
data/frames\20260610_152652_000203.png,0
data/frames\20260610_152652_000204.png,0
data/frames\20260610_152652_000205.png,0
data/frames\20260610_152652_000206.png,0
data/frames\20260610_152652_000207.png,0
data/frames\20260610_152652_000208.png,0
data/frames\20260610_152652_000209.png,0
data/frames\20260610_152652_000210.png,0
data/frames\20260610_152652_000211.png,0
data/frames\20260610_152652_000212.png,0
data/frames\20260610_152652_000213.png,0
data/frames\20260610_152652_000214.png,0
data/frames\20260610_152652_000215.png,0
data/frames\20260610_152652_000216.png,0
data/frames\20260610_152652_000217.png,0
data/frames\20260610_152652_000218.png,0
data/frames\20260610_152652_000219.png,0
data/frames\20260610_152652_000220.png,0
data/frames\20260610_152652_000221.png,1
data/frames\20260610_152652_000222.png,1
data/frames\20260610_152652_000223.png,0
data/frames\20260610_152652_000224.png,0
data/frames\20260610_152652_000225.png,0
data/frames\20260610_152652_000226.png,0
data/frames\20260610_152652_000227.png,0
data/frames\20260610_152652_000228.png,0
data/frames\20260610_152652_000229.png,0
data/frames\20260610_152652_000230.png,0
data/frames\20260610_152652_000231.png,1
data/frames\20260610_152652_000232.png,1
data/frames\20260610_152652_000233.png,0
data/frames\20260610_152652_000234.png,0
data/frames\20260610_152652_000235.png,0
data/frames\20260610_152652_000236.png,0
data/frames\20260610_152652_000237.png,0
data/frames\20260610_152652_000238.png,0
data/frames\20260610_152652_000239.png,0
data/frames\20260610_152652_000240.png,0
data/frames\20260610_152652_000241.png,0
data/frames\20260610_152652_000242.png,0
data/frames\20260610_152652_000243.png,0
data/frames\20260610_152652_000244.png,0
data/frames\20260610_152652_000245.png,0
data/frames\20260610_152652_000246.png,0
data/frames\20260610_152652_000247.png,0
data/frames\20260610_152652_000248.png,0
data/frames\20260610_152652_000249.png,0
data/frames\20260610_152652_000250.png,0
data/frames\20260610_152652_000251.png,0
data/frames\20260610_152652_000252.png,0
data/frames\20260610_152652_000253.png,0
data/frames\20260610_152652_000254.png,0
data/frames\20260610_152652_000255.png,0
data/frames\20260610_152652_000256.png,0
data/frames\20260610_152652_000257.png,0
data/frames\20260610_152652_000258.png,0
data/frames\20260610_152652_000259.png,0
data/frames\20260610_152652_000260.png,0
data/frames\20260610_152652_000261.png,0
data/frames\20260610_152652_000262.png,0
data/frames\20260610_152652_000263.png,0
data/frames\20260610_152652_000264.png,0
data/frames\20260610_152652_000265.png,0
data/frames\20260610_152652_000266.png,0
data/frames\20260610_152652_000267.png,0
data/frames\20260610_152652_000268.png,0
data/frames\20260610_152652_000269.png,0
data/frames\20260610_152652_000270.png,0
data/frames\20260610_152652_000271.png,0
data/frames\20260610_152652_000272.png,0
data/frames\20260610_152652_000273.png,0
data/frames\20260610_152652_000274.png,0
data/frames\20260610_152652_000275.png,0
data/frames\20260610_152652_000276.png,0
data/frames\20260610_152652_000277.png,0
data/frames\20260610_152652_000278.png,0
